,0,1
0,1,0.9309989701338827
1,3,0.9378292939936775
2,5,0.9375661375661376
3,7,0.9327641408751334
4,9,0.9290322580645162
5,11,0.9277238403451997
6,13,0.9224137931034483
7,15,0.9234088457389428
8,17,0.9245689655172413
9,19,0.9245689655172413
10,21,0.9257265877287406
11,23,0.9245689655172413
12,25,0.9234088457389428
13,27,0.9224137931034483
14,29,0.9234088457389428
15,31,0.9245689655172413
16,33,0.9245689655172413
17,35,0.9245689655172413
18,37,0.9234088457389428
19,39,0.9234088457389428
20,41,0.9234088457389428
21,43,0.9222462203023758
22,45,0.9199134199134199
23,47,0.9199134199134199
24,49,0.9199134199134199
