,0,1
0,1,0.931910569105691
1,3,0.9400406504065041
2,5,0.9400406504065041
3,7,0.9359756097560976
4,9,0.9329268292682927
5,11,0.931910569105691
6,13,0.926829268292683
7,15,0.9278455284552846
8,17,0.9288617886178862
9,19,0.9288617886178862
10,21,0.9298780487804879
11,23,0.9288617886178862
12,25,0.9278455284552846
13,27,0.926829268292683
14,29,0.9278455284552846
15,31,0.9288617886178862
16,33,0.9288617886178862
17,35,0.9288617886178862
18,37,0.9278455284552846
19,39,0.9278455284552846
20,41,0.9278455284552846
21,43,0.926829268292683
22,45,0.9247967479674797
23,47,0.9247967479674797
24,49,0.9247967479674797
